.,Creator Data,Kelas,Title,Alternative Title,URL Photo,Year,Country,Synopsis,Availability,Genres (Up to 5),Actor (Up to 9),Link Trailer,Award,Trailer(link YT)
1,Rafif,3B,Black Mirror,,https://posters.movieposterdb.com/20_01/2018/9495224/l_9495224_7ddeafff.jpg,2019,UK,,Netflix ,"Sci-fi, Horror, Fantasi ",,,,
2,Rafif,3B,Dark,,https://posters.movieposterdb.com/20_01/2017/5753856/l_5753856_c80d9360.jpg,,UK,,Netflix ,sci-fi ,,,,
3,Rafif,3B,The Queen Gambits ,,https://posters.movieposterdb.com/21_06/2005/455275/l_455275_ecb556e5.jpg,2020,United States,,Netflix ,,,,,
4,Rafif ,3B,Avatar the last Airbender ,,https://posters.movieposterdb.com/24_02/2024/9018736/l_avatar-the-last-airbender-movie-poster_eb1f09e2.jpg,2024,United States,,Netflix ,,,,,
5,Rafif ,3B,Wednesday ,,https://posters.movieposterdb.com/22_09/2022/13443470/l_wednesday-movie-poster_b88d004c.png,2022,United States,"Follows Wednesday Addams' years as a student, when she attempts to master her emerging psychic ability, thwart and solve the mystery that embroiled her parents.",Netflix ,,,,,
6,Mahardika,3B,Crash Landing on You,,https://upload.wikimedia.org/wikipedia/id/6/64/Crash_Landing_on_You_main_poster.jpg,2019,South Korea,The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her.,Netflix ,"Romance, Adventure, Comedy","Hyun Bin, Son Ye-jin, 
Seo Ji-hye, 
Kim Jung-hyun, 
Yang Kyung-won, Yoo Su-bin, Lee Sin-young, 
Tang Joon-sang, Kim Jung-nan",https://youtu.be/GVQGWgeVc4k?si=52NMaAQYHKXEtxPT,-,https://youtu.be/GVQGWgeVc4k?si=52NMaAQYHKXEtxPT
7,Mahardika,3B,The Goblin,,https://upload.wikimedia.org/wikipedia/id/6/69/Golbin_Poster.jpg,2021,South Korea,"Former gangster Doo-hyun, known as ""Goblin"", served time for his boss' murder to protect Young-min. Out of prison, Young-min kidnaps Doo-hyun's daughter, forcing him to seek vengeance and reclaim his ""Goblin"" persona.",Netflix ,Action,"Cho Dong-hyuk, Wan Lee, 
Yoon Song-a",https://youtu.be/vSQ-2incUEM?si=YkoqreKTEvOwRMHz,-,https://youtu.be/vSQ-2incUEM?si=YkoqreKTEvOwRMHz
8,Mahardika,3B,Itaewon Class,,https://upload.wikimedia.org/wikipedia/id/f/f9/Itaewon_Class_poster.jpg,2020,South Korea,"An ex-con opens a street bar in Itaewon, while also seeking revenge on the family who was responsible for his father's death.",Netflix ,"Drama, Romance","Park Seo-joon, Kim Da-mi, Yoo Jae-Myung, Nara, Ahn Bo-hyun, Lee Joo-young, Kim Hye-Eun, Kim Dong-Hee, Ryu Kyung-soo",https://youtu.be/NNP8m3gaaFE?si=naxieCcmL1ZoCZjp,-,https://youtu.be/NNP8m3gaaFE?si=naxieCcmL1ZoCZjp
9,Mahardika,3B,Vincenzo,,https://awsimages.detik.net.id/community/media/visual/2021/03/01/vincenzo-1.png,2021,South Korea,"During a visit to his motherland, a Korean-Italian Mafia lawyer gives an unrivaled conglomerate a taste of its own medicine with a side of justice.",Netflix ,"Action, Comedy, Drama, Crime","Song Joong-ki, Jeon Yeo-been, Taecyeon, Kwak Dong-yeon, Wyatt Bowen, Yoon Byung-hee, Kim Yoon-hye, Kim Yeo-jin, Jo Han-chul",https://youtu.be/_J8tYxYB_YU?si=YnLEiQpH7CLVECMW,-,https://youtu.be/_J8tYxYB_YU?si=YnLEiQpH7CLVECMW
10,Mahardika,3B,Descendants of the Sun,,https://upload.wikimedia.org/wikipedia/id/6/6e/DescendantsoftheSun.jpg,2016,South Korea,This drama tells of the love story that develops between a surgeon and a special forces officer.,Netflix ,"Action, Comedy, Drama, Romance","Song Joong-ki, Song Hye-kyo, Jin Goo, Kim Ji-won, Kim Min-Seok, Kang Shin-il, Ahn Bo-hyun, Seo Jung-yeon, Park Hoon",https://youtu.be/XyzaMpAVm3s?si=C9-C3laIbJZ3tS6w,Baeksang Arts Award for Best Drama,https://youtu.be/XyzaMpAVm3s?si=C9-C3laIbJZ3tS6w
11,Sarah,3B,The Maze Runner,-,https://posters.movieposterdb.com/14_08/2014/1790864/s_1790864_fe41cf34.jpg,2014,United States,"Awakening in an elevator, remembering nothing of his past, Thomas emerges into a world of about thirty teenage boys, all without past memories, who have learned to survive under their own set of rules in a completely enclosed environment, subsisting on their own agriculture and supplies. With a new boy arriving every thirty days, the group has been in ""The Glade"" for three years, trying to find a way to escape through the Maze that surrounds their living space (patrolled by cyborg monsters named 'Grievers'). They have begun to give up hope when a comatose girl arrives with a strange note, and their world begins to change with the boys dividing into two factions: those willing to risk their lives to escape and those wanting to hang onto what they've got and survive.—KelseyJ",Netflix ,"Action, Mystery, Sci-Fi, Thriller","Dylan O'Brien, Ki Hong Lee, Thomas Brodie-Sangster, Will Poulter, Kaya Scodelario, Aml Ameen, Blake Cooper",https://youtu.be/AwwbhhjQ9Xk?si=PJjZKZH7amEgeBhA,2015 Nominee Golden Trailer Best Fantasy / Adventure Poster,https://youtu.be/AwwbhhjQ9Xk?si=PJjZKZH7amEgeBhA
